ticker,name
X:00USD,00 Token
X:1INCHUSD,1inch
X:A8USD,Ancient8
X:AAVEUSD,Aave
X:ABTUSD,Arcblock
X:ACAUSD,Acala
X:ACHUSD,Alchemy Pay
X:ACSUSD,Access Protocol
X:ACXUSD,Across Protocol
X:ADAUSD,Cardano
X:ADXUSD,AdEx
X:AERGOUSD,Aergo
X:AEROUSD,Aerodome Finance
X:AEVOUSD,Aevo
X:AGLDUSD,Adventure Gold
X:AIOZUSD,AIOZ Network
X:AIRUSD,AIRian
X:AKTUSD,Akash
X:ALBTUSD,AllianceBlock
X:ALCXUSD,Alchemix
X:ALEOUSD,Aleo
X:ALEPHUSD,Aleph.im v2
X:ALGOUSD,Algorand
X:ALGUSD,Algory
X:ALICEUSD,MyNeighborAlice
X:ALPHAUSD,Stella
X:ALT11M2507USD,ALT11M2507
X:ALT11M250830USD,ALT11M250830
X:ALT11M251029USD,ALT11M251029
X:ALT2612USD,ALT2612
X:ALTUSD,AltLayer
X:AMPUSD,Amp
X:ANKRUSD,Ankr
X:ANTUSD,Aragon
X:APENFTUSD,APENFT
X:APEUSD,ApeCoin
X:API3USD,API3
X:APPUSD,Moon App
X:APTUSD,Aptos
X:APUUSD,APU
X:ARBUSD,Arbitrum
X:ARKMUSD,Arkham
X:ARPAUSD,ARPA Chain
X:ASMUSD,Assemble Protocol
X:ASTRUSD,Astar
X:ASTUSD,AirSwap
X:ATAUSD,Automata Network
X:ATHUSD,Aethir
X:ATLASUSD,Star Atlas
X:ATOMUSD,Cosmos
X:ATOUSD,ATO
X:AUCTIONUSD,Bounce Token
X:AUDIOUSD,Audius
X:AURORAUSD,Aurora
X:AUSDTUSD,aUSDT
X:AVAXUSD,Avalanche
X:AVTUSD,Aventus
X:AXLUSD,Axelar
X:AXSUSD,Axie Infinity
X:AZEROUSD,Aleph Zero
X:B2MUSD,Bit2Me
X:BADGERUSD,Badger Dao
X:BALUSD,Balancer
X:BANDUSD,Band Protocol
X:BATUSD,Basic Attention Token
X:BCHUSD,Bitcoin Cash
X:BCHNUSD,Bitcoin Cash
X:BEAMUSD,BEAM
X:BESTUSD,Bitpanda
X:BFTUSD,BnkToTheFuture
X:BGBUSD,Bitget Token
X:BICOUSD,Biconomy
X:BIGTIMEUSD,Big Time
X:BITUSD,BitDAO
X:BLASTUSD,Blast
X:BLURUSD,Blur
X:BLZUSD,Bluzelle
X:BNCUSD,Bifrost Native Coin
X:BNTUSD,Bancor
X:BOBAUSD,Boba Network
X:BODENUSD,Jeo Boden
X:BOMEUSD,Book Of Meme
X:BONDUSD,BarnBridge
X:BONKUSD,Bonk
X:BORGUSD,BORG
X:BOSONUSD,Boson Protocol
X:BRICKUSD,Brick by Brick
X:BSVUSD,Bitcoin SV
X:BSXUSD,Basilisk
X:BTCUSD,Bitcoin
X:BTCPYUSD,BTCpy
X:BTGUSD,Bitcoin Gold
X:BTRSTUSD,Braintrust
X:BTSEUSD,BTSE
X:BTTUSD,BitTorrent
X:BUSDUSD,Binance USD
X:BXNUSD,BXN
X:C98USD,Coin98
X:CBETHUSD,Coinbase Wrapped Staked ETH
X:CCDUSD,Concordium
X:CELOUSD,Celo
X:CELRUSD,Celer Network
X:CELUSD,Celsius
X:CFGUSD,Centrifuge
X:CGLDUSD,Celo
X:CHEXUSD,CHEX
X:CHRUSD,Chromia
X:CHSBUSD,SwissBorg
X:CHZUSD,Chiliz
X:CLOUDUSD,Cloud
X:CLOUSD,Callisto
X:CLVUSD,Clover Finance
X:CNHTUSD,CNH Tether
X:COMPUSD,Compound
X:COQUSD,Coq Inu
X:CORECHAINUSD,Core
X:COREUMUSD,Coreum
X:COTIUSD,Coti
X:COVALUSD,Circuits of Value
X:COWUSD,Cow Protocol
X:CPOOLUSD,Clearpool
X:CQTUSD,Covalent Query Token
X:CROUSD,Crypto.com
X:CRPTUSD,Crypterium
X:CRVUSD,Curve DAO Token
X:CSMUSD,Consentium
X:CSPRUSD,Casper Network
X:CTSIUSD,Cartesi
X:CTXUSD,Cryptex Finance
X:CVCUSD,Civic
X:CVXUSD,Convex Finance
X:CXTUSD,Covalent X Token
X:DAIUSD,Dai
X:DARUSD,Mines of Dalarnia
X:DASHUSD,Dash
X:DBRUSD,deBridge
X:DDXUSD,DerivaDAO
X:DEGENUSD,Degen
X:DENTUSD,Dent
X:DESOUSD,Decentralized Social
X:DEXTUSD,DEXTools
X:DGBUSD,DigiByte
X:DIAUSD,DIA
X:DIMOUSD,Dimo
X:DNTUSD,district0x
X:DNYUSD,District0x
X:DOGEUSD,Dogecoin
X:DOPUSD,Data Ownership Protocol
